,Model,Colour,Memory,RAM,mAH of Battery,Rear Camera(In MP),Front Camera(In MP),Processor in Phone,Price of Phone,Camera quality index (Front + Rear specs in MP),Phone storage(RAM +ROM in GB)
187,realme 9i 5G,Rocking Black,64,4,5000,50,8,Mediatek Dimensity 810 5G,14999.0,8+50,4+64
188,POCO M4 Pro,Cool Blue,128,8,5000,64,16,Mediatek Helio G96,13999.0,16+64,8+128
189,realme C33 2023,Sandy Gold,64,4,5000,50,5,Unisoc T612,9999.0,5+50,4+64
190,realme C33 2023,Aqua Blue,64,4,5000,50,5,Unisoc T612,9999.0,5+50,4+64
191,realme C33 2023,Night Sea,64,4,5000,50,5,Unisoc T612,9999.0,5+50,4+64
192,realme C31,Dark Green,32,3,5000,13,5,Unisoc T612,8049.0,5+13,3+32
193,micromax 2,Dark Green,32,4,1020,2,0,MediaTek,2499.0,2,4+32
194,Infinix Hot 20 5G,Space Blue,128,6,5000,50,8,Dimensity 810,13499.0,8+50,6+128
195,realme 9i 5G,Metallica Gold,128,6,5000,50,8,Mediatek Dimensity 810 5G,16999.0,8+50,6+128
196,realme 9i 5G,Rocking Black,128,6,5000,50,8,Mediatek Dimensity 810 5G,16999.0,8+50,6+128
197,realme 9i 5G,Soulful Blue,64,4,5000,50,8,Mediatek Dimensity 810 5G,14999.0,8+50,4+64
198,realme C21Y,Cross Black,32,3,5000,13,5,Unisoc T610,7499.0,5+13,3+32
199,realme Narzo 50i Prime,Dark Blue,32,3,5000,8,5,Unisoc T612 processor,7245.0,5+8,3+32
200,POCO X5 5G,Wildcat Blue,256,8,5000,48,13,Qualcomm Snapdragon 695,17999.0,13+48,8+256
201,REDMI Note 12 Pro 5G,Stardust Purple,256,8,5000,50,16,Mediatek Dimensity 1080,26999.0,16+50,8+256
202,REDMI Note 12 Pro 5G,Stardust Purple,128,6,5000,50,16,Mediatek Dimensity 1080,23999.0,16+50,6+128
203,realme C31,Light Silver,64,4,5000,13,5,Unisoc T612,8749.0,5+13,4+64
204,POCO X5 Pro 5G,Horizon Blue,128,6,5000,108,16,Qualcomm Snapdragon 778G,21999.0,16+108,6+128
205,Infinix Zero 5G 2023,Submariner Black,128,8,5000,50,16,Mediatek Dimensity 920,15999.0,16+50,8+128
206,POCO X4 Pro 5G,Yellow,128,6,5000,64,16,Qualcomm Snapdragon 695 5G,17499.0,16+64,6+128
207,MOTOROLA g82 5G,Meterorite Grey,128,8,5000,50,16,Qualcomm Snapdragon 695 5G,21499.0,16+50,8+128
208,realme 9i 5G,Metallica Gold,64,4,5000,50,8,Mediatek Dimensity 810 5G,14999.0,8+50,4+64
209,REDMI Note 12 Pro+ 5G,Iceberg Blue,256,8,4980,200,16,Mediatek Dimensity 1080,29999.0,16+200,8+256
210,vivo T1 44W,Midnight Galaxy,128,8,5000,50,16,Qualcomm Snapdragon 680,17999.0,16+50,8+128
211,vivo T1 44W,Ice Dawn,128,8,5000,50,16,Qualcomm Snapdragon 680,17999.0,16+50,8+128
212,vivo T1 44W,Starry Sky,128,6,5000,50,16,Qualcomm Snapdragon 680,15999.0,16+50,6+128
213,vivo T1 44W,Midnight Galaxy,128,4,5000,50,16,Qualcomm Snapdragon 680,14499.0,16+50,4+128
214,vivo T1 44W,Ice Dawn,128,6,5000,50,16,Qualcomm Snapdragon 680,15999.0,16+50,6+128
215,MOTOROLA g82 5G,White Lily,128,8,5000,50,16,Qualcomm Snapdragon 695 5G,21499.0,16+50,8+128
216,MOTOROLA g31,Baby Blue,128,6,5000,50,13,Mediatek Helio G85,12999.0,13+50,6+128
217,REDMI Note 12 Pro+ 5G,Obsidian Black,256,8,4980,200,16,Mediatek Dimensity 1080,29999.0,16+200,8+256
218,realme narzo 50i Prime,Mint Green,32,3,5000,8,5,Unisoc Tiger T612 (12 nm),7115.0,5+8,3+32
219,MOTOROLA e13,Aurora Green,64,2,5000,13,5,Unisoc T606,6799.0,5+13,2+64
220,REDMI Note 12 Pro 5G,Glacier Blue,128,6,5000,50,16,Mediatek Dimensity 1080,23999.0,16+50,6+128
221,vivo T1 44W,Starry Sky,128,4,5000,50,16,Qualcomm Snapdragon 680,14499.0,16+50,4+128
222,SAMSUNG Galaxy S22 Plus 5G,Phantom Black,128,8,4500,50,10,Qualcomm Snapdragon 8 Gen 1,34265.0,10+50,8+128
223,Infinix Zero 5G 2023,Pearly White,128,8,5000,50,16,Mediatek Dimensity 920,15999.0,16+50,8+128
224,POCO X5 Pro 5G,Yellow,256,8,5000,108,16,Qualcomm Snapdragon 778G,23999.0,16+108,8+256
225,vivo V27 5G,Noble Black,128,8,4600,50,50,Mediatek Dimensity 7200 5G,32999.0,50+50,8+128
226,realme Narzo 50,Speed Blue,64,4,5000,50,16,Mediatek Helio G96,12999.0,16+50,4+64
227,Infinix HOT 20 Play,Fantasy Purple,64,4,6000,13,8,MediaTek G37,8499.0,8+13,4+64
228,Infinix HOT 20 Play,Aurora Green,64,4,6000,13,8,MediaTek G37,8499.0,8+13,4+64
229,Infinix HOT 20 Play,Luna Blue,64,4,6000,13,8,MediaTek G37,8499.0,8+13,4+64
230,Infinix HOT 20 Play,Racing Black,64,4,6000,13,8,MediaTek G37,8499.0,8+13,4+64
231,realme Narzo 50,Speed Blue,128,6,5000,50,16,Mediatek Helio G96,12999.0,16+50,6+128
232,POCO X5 5G,Supernova Green,256,8,5000,48,13,Qualcomm Snapdragon 695,17999.0,13+48,8+256
233,MOTOROLA g52,Charcoal Grey,128,6,5000,50,16,Qualcomm Snapdragon 680,13999.0,16+50,6+128
234,vivo T1 44W,Starry Sky,128,8,5000,50,16,Qualcomm Snapdragon 680,17999.0,16+50,8+128
235,vivo T1 44W,Midnight Galaxy,128,6,5000,50,16,Qualcomm Snapdragon 680,15999.0,16+50,6+128
236,realme Narzo 50,Speed Black,128,6,5000,50,16,Mediatek Helio G96,12999.0,16+50,6+128
237,OPPO A17k,Blue,64,3,5000,8,5,Mediatek Helio P35,9499.0,5+8,3+64
238,REDMI Note 12 Pro 5G,Stardust Purple,128,8,5000,50,16,Mediatek Dimensity 1080,25999.0,16+50,8+128
239,vivo V27 5G,Magic Blue,128,8,4600,50,50,Mediatek Dimensity 7200 5G,32999.0,50+50,8+128
240,realme C25s,Watery Blue,128,4,6000,13,8,MediaTek Helio G85,10999.0,8+13,4+128
241,Infinix Zero 5G 2023,Coral Orange,128,8,5000,50,16,Mediatek Dimensity 920,15999.0,16+50,8+128
